time_step,roll,roll_rate,pitch,pitch_rate,yaw,yaw_rate,depth,depth_rate
0,0.1,-7.583347813193845e-05,0.2,3.16945762319582e-05,0.3,7.510460804237439e-05,0.0,0.0
1,0.09999393332174945,-0.0005307077195323748,0.20000253556609857,0.00022180910974870595,0.3000060083686434,0.0005256068459790458,0.0,0.0
2,0.09997877675631436,-0.0009841890328105942,0.20000887024743497,0.0004113414694232994,0.30002101925742647,0.0009747295438654715,0.0,0.0
3,0.09995459615208369,-0.0014331124958349881,0.20001897652269682,0.0005989688770661743,0.3000449674508595,0.0014193381991144908,0.0,0.0
4,0.09992148261225788,-0.0018774887782379763,0.20003281631532976,0.0007846957918983721,0.30007776272137804,0.0018594433788879509,0.0,0.0
5,0.09987952670929451,-0.0023173549919792108,0.20005035177059952,0.0009685377246253278,0.30011931536706116,0.0022950818385674356,0.0,0.0
6,0.0998288182736235,-0.0027527481836690172,0.20007154534389673,0.0011505101585657228,0.30016953642088656,0.002726290268853317,0.0,0.0
7,0.09976944639760586,-0.0031837051135700624,0.200096359799081,0.0013306284572884221,0.30022833764681056,0.003153105076888847,0.0,0.0
8,0.09970149944126167,-0.003610262255868528,0.20012475820608544,0.0015089078647288442,0.3002956315340959,0.0035755623865270734,0.0,0.0
9,0.09962506503797036,-0.00403245580079379,0.20015670393853302,0.0016853635060778323,0.30037133129166693,0.00399369804042853,0.0,0.0
10,0.09954023010012866,-0.004450321656739553,0.20019216067137047,0.001860010388671059,0.30045535084250696,0.004407547602160417,0.0,0.0
11,0.09944708082476622,-0.004863895452370963,0.20023109237852002,0.0020328634028724925,0.3005476048180969,0.004817146358281929,0.0,0.0
12,0.09934570269911919,-0.005273212538717627,0.20027346333054885,0.0022039373229518996,0.30064800855289614,0.005222529320415659,0.0,0.0
13,0.09923618050616213,-0.005678307991252606,0.2003192380923558,0.0023732468079564126,0.30075647807886435,0.005623731227305158,0.0,0.0
14,0.0991185983300985,-0.006079216611957438,0.20036838152087566,0.002540806402576188,0.3008729301200243,0.00602078654685869,0.0,0.0
15,0.09899303956180994,-0.006475972931373271,0.20042085876280066,0.0027066305380041887,0.3009972820870655,0.006413729478179266,0.0,0.0
16,0.09885958690426463,-0.006868611210638154,0.200476635252319,0.0028707335327901136,0.30112945207198827,0.00680259395358101,0.0,0.0
17,0.09871832237788519,-0.00725716544351056,0.2005356767088706,0.0030331295936885066,0.30126935884278805,0.007187413640591922,0.0,0.0
18,0.09856932732587606,-0.007641669358379208,0.2005979491349194,0.0031938328165010744,0.30141692183817964,0.007568221943943098,0.0,0.0
19,0.09841268241951097,-0.008022156420259236,0.20066341881374297,0.003352857186913236,0.30157206116236085,0.007945052007544489,0.0,0.0
20,0.09824846766338054,-0.008398659832774817,0.20073205230723826,0.0035102165813249413,0.30173469757981597,0.00831793671644723,0.0,0.0
21,0.09807676240060037,-0.008771212540128246,0.2008038164537443,0.003665924767675778,0.3019047525101579,0.008686908698792637,0.0,0.0
22,0.09789764531797995,-0.009139847229055592,0.2008786783658811,0.0038199954062644037,0.3020821480230095,0.009052000327747918,0.0,0.0
23,0.09771119445115249,-0.009504596330768975,0.20095660542840513,0.0039724420505623265,0.3022668068329231,0.009413243723428662,0.0,0.0
24,0.09751748718966609,-0.00986549202288553,0.2010375652960806,0.004123278148022064,0.30245865229433905,0.009770670754808176,0.0,0.0
25,0.0973166002820365,-0.01022256623134311,0.20112152589156743,0.0042725170408797145,0.3026576083965813,0.01012431304161373,0.0,0.0
26,0.0971086098407616,-0.010575850632302828,0.20120845540332463,0.004420171966951954,0.30286359975889166,0.010474201956209774,0.0,0.0
27,0.0968935913472981,-0.010925376654038465,0.20129832228353,0.0045662560604275105,0.30307655162550123,0.01082036862546821,0.0,0.0
28,0.09667161965700041,-0.011271175478812841,0.20139109524601542,0.004710782352653126,0.30329638986073915,0.01116284393262575,0.0,0.0
29,0.09644276900402228,-0.011613278044741196,0.20148674326421773,0.004853763772914037,0.3035230409441783,0.01150165851912844,0.0,0.0
30,0.09620711300618116,-0.01195171504764165,0.2015852355691454,0.004995213149209017,0.30375643196581786,0.011836842786463436,0.0,0.0
31,0.0959647246697858,-0.012286516942872812,0.20168654164736038,0.0051351432090199845,0.3039964906213023,0.012168426897978065,0.0,0.0
32,0.09571567639442713,-0.012617713947158613,0.20179063123897548,0.005273566580076231,0.30424314520717677,0.012496440780686242,0.0,0.0
33,0.09546003997773285,-0.0129453360404004,0.2018974743356669,0.005410495791113283,0.3044963246161783,0.012820914127062332,0.0,0.0
34,0.09519788662008584,-0.013269412967476388,0.2020070411787019,0.005545943272626424,0.3047559583325629,0.013141876396822492,0.0,0.0
35,0.09492928692930674,-0.013589974240028524,0.20211930225698152,0.005679921357618919,0.3050219764274681,0.013459356818693568,0.0,0.0
36,0.09465431092530091,-0.01390704913823682,0.20223422830509807,0.005812442282344957,0.3052943095543106,0.01377338439216963,0.0,0.0
37,0.09437302804467002,-0.01422066671258124,0.20235179030140768,0.005943518187047344,0.30557288894421936,0.01408398788925617,0.0,0.0
38,0.09408550714528854,-0.01453085578559119,0.2024719594661173,0.006073161116689984,0.3058576464015029,0.014391195856202075,0.0,0.0
39,0.0937918165108454,-0.014837644953582686,0.2025947072593864,0.0062013830216851576,0.3061485142991516,0.014695036615219405,0.0,0.0
40,0.0934920238553509,-0.015141062588383266,0.20272000537944326,0.006328195758615647,0.3064454255743738,0.014995538266191053,0.0,0.0
41,0.09318619632760942,-0.015441136839044708,0.20284782576071553,0.006453611090951721,0.3067483137241666,0.01529272868836636,0.0,0.0
