{'x': 0, 'y': 0, 'z': 10.0, 'roll': 5.0, 'pitch': 5.0, 'yaw': 0.0, 'dx': 0, 'dy': 0, 'dz': 0.0, 'droll': 0.0, 'dpitch': 0.0, 'dyaw': 0.0, 'thrustx': 0, 'thrusty': 0, 'thrustz': 0, 'torquex': -125.0, 'torquey': -4.8, 'torquez': 0.0}
{'x': 0, 'y': 0, 'z': 10.0, 'roll': 4.99997, 'pitch': 4.99921875, 'yaw': 0.0, 'dx': 0, 'dy': 0, 'dz': 0.0, 'droll': -0.012, 'dpitch': -0.3125, 'dyaw': 0.0, 'thrustx': 0, 'thrusty': 0, 'thrustz': 0, 'torquex': -125.0, 'torquey': -4.8, 'torquez': 0.0}
{'x': 0, 'y': 0, 'z': 10.0, 'roll': 4.99991, 'pitch': 4.9976562499999995, 'yaw': 0.0, 'dx': 0, 'dy': 0, 'dz': 0.0, 'droll': -0.024, 'dpitch': -0.625, 'dyaw': 0.0, 'thrustx': 0, 'thrusty': 0, 'thrustz': 0, 'torquex': -125.0, 'torquey': -4.8, 'torquez': 0.0}
{'x': 0, 'y': 0, 'z': 10.0, 'roll': 4.99982, 'pitch': 4.9953125, 'yaw': 0.0, 'dx': 0, 'dy': 0, 'dz': 0.0, 'droll': -0.036000000000000004, 'dpitch': -0.9375, 'dyaw': 0.0, 'thrustx': 0, 'thrusty': 0, 'thrustz': 0, 'torquex': -125.0, 'torquey': -4.8, 'torquez': 0.0}
{'x': 0, 'y': 0, 'z': 10.0, 'roll': 4.9997, 'pitch': 4.9921875, 'yaw': 0.0, 'dx': 0, 'dy': 0, 'dz': 0.0, 'droll': -0.048, 'dpitch': -1.25, 'dyaw': 0.0, 'thrustx': 0, 'thrusty': 0, 'thrustz': 0, 'torquex': -125.0, 'torquey': -4.8, 'torquez': 0.0}
{'x': 0, 'y': 0, 'z': 10.0, 'roll': 4.99955, 'pitch': 4.98828125, 'yaw': 0.0, 'dx': 0, 'dy': 0, 'dz': 0.0, 'droll': -0.06, 'dpitch': -1.5625, 'dyaw': 0.0, 'thrustx': 0, 'thrusty': 0, 'thrustz': 0, 'torquex': -125.0, 'torquey': -4.8, 'torquez': 0.0}
{'x': 0, 'y': 0, 'z': 10.0, 'roll': 4.99937, 'pitch': 4.98359375, 'yaw': 0.0, 'dx': 0, 'dy': 0, 'dz': 0.0, 'droll': -0.072, 'dpitch': -1.875, 'dyaw': 0.0, 'thrustx': 0, 'thrusty': 0, 'thrustz': 0, 'torquex': -125.0, 'torquey': -4.8, 'torquez': 0.0}
{'x': 0, 'y': 0, 'z': 10.0, 'roll': 4.99916, 'pitch': 4.9781249999999995, 'yaw': 0.0, 'dx': 0, 'dy': 0, 'dz': 0.0, 'droll': -0.08399999999999999, 'dpitch': -2.1875, 'dyaw': 0.0, 'thrustx': 0, 'thrusty': 0, 'thrustz': 0, 'torquex': -125.0, 'torquey': -4.8, 'torquez': 0.0}
{'x': 0, 'y': 0, 'z': 10.0, 'roll': 4.99892, 'pitch': 4.971875, 'yaw': 0.0, 'dx': 0, 'dy': 0, 'dz': 0.0, 'droll': -0.09599999999999999, 'dpitch': -2.5, 'dyaw': 0.0, 'thrustx': 0, 'thrusty': 0, 'thrustz': 0, 'torquex': -125.0, 'torquey': -4.8, 'torquez': 0.0}
{'x': 0, 'y': 0, 'z': 10.0, 'roll': 4.99865, 'pitch': 4.96484375, 'yaw': 0.0, 'dx': 0, 'dy': 0, 'dz': 0.0, 'droll': -0.10799999999999998, 'dpitch': -2.8125, 'dyaw': 0.0, 'thrustx': 0, 'thrusty': 0, 'thrustz': 0, 'torquex': -125.0, 'torquey': -4.8, 'torquez': 0.0}
{'x': 0, 'y': 0, 'z': 10.0, 'roll': 4.998349999999999, 'pitch': 4.95703125, 'yaw': 0.0, 'dx': 0, 'dy': 0, 'dz': 0.0, 'droll': -0.11999999999999998, 'dpitch': -3.125, 'dyaw': 0.0, 'thrustx': 0, 'thrusty': 0, 'thrustz': 0, 'torquex': -125.0, 'torquey': -4.8, 'torquez': 0.0}
{'x': 0, 'y': 0, 'z': 10.0, 'roll': 4.9980199999999995, 'pitch': 4.9484375, 'yaw': 0.0, 'dx': 0, 'dy': 0, 'dz': 0.0, 'droll': -0.13199999999999998, 'dpitch': -3.4375, 'dyaw': 0.0, 'thrustx': 0, 'thrusty': 0, 'thrustz': 0, 'torquex': -125.0, 'torquey': -4.8, 'torquez': 0.0}
{'x': 0, 'y': 0, 'z': 10.0, 'roll': 4.99766, 'pitch': 4.9390624999999995, 'yaw': 0.0, 'dx': 0, 'dy': 0, 'dz': 0.0, 'droll': -0.144, 'dpitch': -3.75, 'dyaw': 0.0, 'thrustx': 0, 'thrusty': 0, 'thrustz': 0, 'torquex': -125.0, 'torquey': -4.8, 'torquez': 0.0}
{'x': 0, 'y': 0, 'z': 10.0, 'roll': 4.997269999999999, 'pitch': 4.92890625, 'yaw': 0.0, 'dx': 0, 'dy': 0, 'dz': 0.0, 'droll': -0.156, 'dpitch': -4.0625, 'dyaw': 0.0, 'thrustx': 0, 'thrusty': 0, 'thrustz': 0, 'torquex': -125.0, 'torquey': -4.8, 'torquez': 0.0}
{'x': 0, 'y': 0, 'z': 10.0, 'roll': 4.996849999999999, 'pitch': 4.91796875, 'yaw': 0.0, 'dx': 0, 'dy': 0, 'dz': 0.0, 'droll': -0.168, 'dpitch': -4.375, 'dyaw': 0.0, 'thrustx': 0, 'thrusty': 0, 'thrustz': 0, 'torquex': -125.0, 'torquey': -4.8, 'torquez': 0.0}
