Current Depth: -10, Current Depth Rate: 0.0, Thrust in z direction: -9.6, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.057004480171315, Current Depth Rate: -1.0130827121276114, Thrust in z direction: -8.409529333447209, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.059537186951633, Current Depth Rate: -1.0341065354612293, Thrust in z direction: -8.359072157446525, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.062122453290286, Current Depth Rate: -1.0550042158548456, Thrust in z direction: -8.359072157446525, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.064759963829923, Current Depth Rate: -1.0759018962484619, Thrust in z direction: -8.308917724501844, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.067449718570543, Current Depth Rate: -1.0966741905597166, Thrust in z direction: -8.308917724501844, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.070191404046943, Current Depth Rate: -1.1174464848709713, Thrust in z direction: -8.259064218154835, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.07298502025912, Current Depth Rate: -1.1380941454163584, Thrust in z direction: -8.259064218154835, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.07583025562266, Current Depth Rate: -1.1587418059617456, Thrust in z direction: -8.209509832845905, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.078727110137566, Current Depth Rate: -1.1792655805438603, Thrust in z direction: -8.209509832845905, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.081675274088925, Current Depth Rate: -1.199789355125975, Thrust in z direction: -8.16025277384883, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.08467474747674, Current Depth Rate: -1.2201899870605972, Thrust in z direction: -8.16025277384883, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.08772522244439, Current Depth Rate: -1.2405906189952194, Thrust in z direction: -8.111291257205735, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.09082669899188, Current Depth Rate: -1.2608688471382337, Thrust in z direction: -8.111291257205735, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.093978871109725, Current Depth Rate: -1.281147075281248, Thrust in z direction: -8.062623509662503, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.097181738797929, Current Depth Rate: -1.3013036340554043, Thrust in z direction: -8.062623509662503, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.100434997883067, Current Depth Rate: -1.3214601928295606, Thrust in z direction: -8.014247768604527, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.103738648365141, Current Depth Rate: -1.3414958122510718, Thrust in z direction: -8.014247768604527, desired depth: -20, desired depth rate: -8.0
